YEAR,SERIAL,REGION,NFAMS,PERNUM,RACE,AGE,SEX,EMPSTAT,OCC,UHRSWORKT,WKSTAT,JOBCERT,EDUC,INCWAGE,OINCWAGE
2016,73659,41,1,3,100,8,1,0,0,999,99,,1,99999999.0,99999999.0
2011,48417,31,1,2,100,56,2,36,0,999,99,,124,0.0,0.0
2020,32277,22,1,2,100,45,1,10,4220,40,11,99.0,73,,
2014,77699,22,1,3,100,19,1,32,0,999,99,,73,0.0,0.0
2021,19325,41,1,4,100,5,2,0,0,999,99,99.0,1,,
2021,18537,21,1,2,100,18,1,34,0,999,99,,50,0.0,0.0
2009,14639,12,1,1,100,54,1,10,9600,40,11,,81,42700.0,0.0
2020,45745,31,1,2,100,26,2,10,4850,25,41,99.0,92,,
2019,67077,33,1,4,100,22,1,10,1020,40,11,,73,26000.0,0.0
2021,2116,42,1,3,100,13,1,0,0,999,99,99.0,1,,
2010,48895,31,1,2,100,45,1,10,9130,50,11,,81,38000.0,0.0
2013,26697,21,1,3,100,22,2,32,0,999,99,,73,0.0,0.0
2012,7288,11,1,3,100,14,1,0,0,999,99,,1,99999999.0,99999999.0
2015,14048,12,1,2,100,52,1,10,100,40,12,,71,74974.0,0.0
2021,46920,22,1,3,100,7,2,0,0,999,99,99.0,1,,
2020,43915,12,1,2,100,29,1,10,1006,45,11,99.0,111,,
2009,14452,12,1,2,100,37,1,10,10,60,11,,111,120000.0,0.0
2019,13205,31,1,1,200,56,1,32,0,999,99,99.0,73,,
2021,47864,21,1,1,100,71,2,36,0,999,99,99.0,73,,
2020,57611,33,3,2,100,23,2,10,1108,40,11,99.0,111,,
2020,35571,22,1,1,100,58,1,36,0,999,99,99.0,91,,
2020,26075,22,1,4,100,14,2,0,0,999,99,,1,99999999.0,99999999.0
2021,60465,33,1,3,100,24,1,34,0,999,99,99.0,81,,
2020,14149,31,1,2,100,44,2,10,5710,40,11,99.0,111,,
2020,43748,12,1,2,100,67,1,36,0,999,99,99.0,91,,
2018,1723,11,1,2,100,12,2,0,0,999,99,,1,99999999.0,99999999.0
2020,44143,12,2,1,100,49,1,10,6050,70,11,99.0,111,,
2011,21637,21,1,1,200,38,2,10,530,40,11,,81,33000.0,0.0
2014,29156,31,1,1,651,69,2,36,0,999,99,,73,0.0,0.0
2021,66628,21,1,2,100,29,2,10,420,40,11,1.0,91,,
2021,7961,42,1,1,100,48,2,10,5740,30,41,99.0,73,,
2014,3824,11,1,2,100,19,1,34,0,999,99,,71,0.0,0.0
2018,17666,21,1,3,100,15,2,34,0,999,99,,30,0.0,0.0
2021,63355,31,1,2,100,46,2,34,0,999,99,99.0,111,,
2011,83575,42,2,4,100,13,1,0,0,999,99,,1,99999999.0,99999999.0
2021,60107,33,1,1,100,47,2,34,0,999,99,99.0,73,,
2020,64951,42,1,2,100,24,1,10,9645,26,22,99.0,81,,
2020,27991,11,1,1,100,43,2,34,0,999,99,99.0,123,,
2019,3886,33,1,1,100,66,2,10,5120,32,15,99.0,81,,
2017,49424,31,1,1,100,69,2,10,4520,25,41,,73,10000.0,0.0
2020,33112,32,1,2,100,49,1,10,4850,40,11,99.0,73,,
2020,24683,32,1,5,200,25,1,34,0,999,99,99.0,81,,
2020,15546,31,1,2,100,71,1,36,0,999,99,99.0,81,,
2021,20649,21,1,4,100,10,2,0,0,999,99,99.0,1,,
2021,47899,21,1,6,100,21,2,34,0,999,99,99.0,81,,
2016,26443,22,1,1,100,46,2,10,5000,47,11,,92,45000.0,0.0
2020,16287,31,1,1,200,30,1,10,530,40,11,99.0,123,,
2021,29305,11,1,1,100,68,1,36,0,999,99,99.0,123,,
2012,62644,32,1,3,200,12,2,0,0,999,99,,1,99999999.0,99999999.0
2021,67185,21,1,2,100,31,2,10,2600,45,11,99.0,111,,
2020,61883,41,1,1,100,28,2,36,0,999,99,99.0,73,,
2013,94905,42,1,2,100,10,2,0,0,999,99,,1,99999999.0,99999999.0
2021,16252,31,1,2,100,80,1,36,0,999,99,99.0,92,,
2022,43916,12,1,1,100,74,1,36,0,999,99,99.0,111,,
2016,23866,21,1,1,100,72,2,10,1107,30,41,,92,39624.0,0.0
2021,31852,22,1,1,100,66,2,36,0,999,99,99.0,92,,
2020,42143,12,1,1,100,28,2,10,2700,40,12,99.0,111,,
2021,38426,11,1,1,100,78,1,36,0,999,99,99.0,111,,
2011,28269,21,1,4,200,10,1,0,0,999,99,,1,99999999.0,99999999.0
2020,42218,12,1,3,200,20,2,34,0,999,99,99.0,81,,
2018,17742,21,1,1,200,25,1,10,3930,40,11,,73,7900.0,0.0
2020,50991,33,1,2,100,31,1,10,4020,52,11,99.0,91,,
2021,8088,42,1,2,100,52,2,10,850,40,11,99.0,111,,
2016,6312,11,1,1,100,36,1,10,9140,24,41,,73,3400.0,0.0
2020,12368,31,1,1,200,62,2,10,1050,59,11,2.0,81,,
2021,54516,22,1,3,100,21,1,10,6260,60,11,99.0,91,,
2020,58684,33,1,3,801,1,2,0,0,999,99,,1,99999999.0,99999999.0
2021,10558,11,1,2,100,68,1,36,0,999,99,99.0,81,,
2020,7301,42,1,1,100,80,1,36,0,999,99,99.0,81,,
2019,17937,31,1,3,100,18,2,10,4110,24,41,99.0,73,,
2019,5581,42,1,2,100,54,1,10,3010,40,11,2.0,111,,
2021,44901,31,1,1,802,36,2,10,2300,40,11,99.0,111,,
2012,68918,33,1,1,100,41,1,10,1410,40,11,,111,101000.0,0.0
2021,32455,22,1,1,100,48,2,10,2330,40,11,2.0,123,,
2020,6313,42,1,2,100,36,2,10,2002,40,11,99.0,111,,
2018,90844,42,1,2,651,62,2,12,5240,40,13,,92,30000.0,0.0
2020,1652,42,1,1,100,80,1,10,440,997,12,2.0,111,,
2019,77030,41,1,1,100,36,1,10,4020,36,11,,71,11000.0,7000.0
2021,10172,41,1,1,100,47,2,10,5840,60,11,2.0,91,,
2022,26275,33,1,2,100,39,1,32,0,999,99,99.0,91,,
2020,76399,41,1,1,100,74,2,36,0,999,99,,73,0.0,0.0
2019,54160,32,1,3,100,22,1,10,4020,35,11,,73,20400.0,0.0
2020,28333,31,1,2,100,48,1,10,1760,40,11,99.0,111,,
2020,67627,21,1,4,200,11,1,0,0,999,99,99.0,1,,
2014,77885,22,2,2,100,45,2,32,0,999,99,,73,0.0,0.0
2013,32654,22,1,1,100,39,1,10,2040,84,11,,81,36000.0,0.0
2019,42237,41,1,2,100,56,2,34,0,999,99,99.0,125,,
2020,17442,31,1,1,100,49,2,10,3640,34,41,2.0,81,,
2020,22474,21,1,3,100,16,2,34,0,999,99,99.0,50,,
2017,79898,41,1,3,100,16,2,34,0,999,99,,50,0.0,0.0
2020,44724,31,1,2,100,66,2,36,0,999,99,99.0,81,,
2021,10365,11,1,2,100,40,1,10,2722,70,11,99.0,111,,
2020,54980,22,1,1,100,73,2,36,0,999,99,99.0,91,,
2020,25105,22,1,2,100,42,2,34,4720,999,99,99.0,91,,
2009,32079,22,1,4,100,15,1,34,0,999,99,,30,0.0,0.0
2021,1741,42,1,3,200,53,1,10,3602,40,11,99.0,111,,
2019,79333,41,1,2,100,51,1,10,150,40,11,,73,62000.0,0.0
2011,33867,22,1,3,100,18,2,34,0,999,99,,50,1100.0,0.0
2018,73098,41,1,1,100,49,1,10,1107,40,11,,111,40000.0,0.0
2011,27797,21,1,3,100,3,1,0,0,999,99,,1,99999999.0,99999999.0
2020,43783,31,1,1,200,53,2,10,52,40,12,,92,27456.0,0.0
2010,84449,42,1,1,100,66,2,36,0,999,99,,91,0.0,0.0
2021,27944,31,1,3,100,0,2,0,0,999,99,99.0,1,,
2020,29196,31,2,6,300,23,1,10,7810,35,11,99.0,73,,
2021,40970,41,1,4,100,8,1,0,0,999,99,99.0,1,,
2021,36341,22,1,1,100,85,2,36,0,999,99,99.0,73,,
2012,51360,31,1,1,100,85,1,36,0,999,99,,123,0.0,0.0
2021,35993,22,1,3,100,9,1,0,0,999,99,99.0,1,,
2020,53790,31,1,2,100,9,2,0,0,999,99,99.0,1,,
2019,12656,12,1,2,100,55,2,10,810,40,11,,111,60000.0,0.0
2009,41673,31,1,2,100,31,2,10,1540,40,11,,73,45000.0,0.0
2021,26111,33,1,1,652,53,1,10,8810,40,11,99.0,73,,
2021,28545,11,1,1,651,68,1,36,0,999,99,99.0,73,,
2016,61306,33,1,1,100,63,1,10,5000,25,41,,81,27000.0,0.0
2022,54030,31,1,1,100,76,1,36,0,999,99,99.0,123,,
2011,23476,21,2,1,100,48,2,21,4920,999,50,,91,0.0,0.0
2020,39417,12,1,4,100,6,2,0,0,999,99,99.0,1,,
2020,2850,41,1,1,100,39,1,10,4700,997,11,2.0,73,,
2020,52631,12,1,2,100,36,1,10,1021,48,11,99.0,111,,
2017,81359,41,1,1,200,46,1,10,340,40,11,,73,30000.0,0.0
2011,91828,42,3,3,200,38,1,34,0,999,99,,60,0.0,0.0
2015,36898,22,1,1,200,77,1,36,0,999,99,,81,0.0,0.0
2011,17160,12,1,3,100,3,2,0,0,999,99,,1,99999999.0,99999999.0
2020,23329,22,1,1,100,42,2,10,4850,40,11,99.0,111,,
2020,36199,31,2,1,100,59,2,10,850,40,11,,123,380000.0,0.0
2019,18122,31,1,2,100,46,1,10,140,40,11,99.0,73,,
2019,46486,31,1,1,100,38,2,10,310,997,11,99.0,92,,
2011,87717,42,1,1,100,85,1,32,0,999,99,,20,0.0,0.0
2021,37290,31,1,1,100,46,1,10,2100,50,11,,124,600000.0,0.0
2009,74118,41,1,2,100,74,2,32,210,999,99,,50,0.0,0.0
2012,71106,33,1,2,651,20,2,34,0,999,99,,81,0.0,0.0
2020,41536,41,1,1,100,39,1,10,5000,45,11,99.0,73,,
2021,21007,21,1,1,100,85,2,36,0,999,99,99.0,73,,
2010,66269,33,1,4,100,16,1,34,0,999,99,,40,0.0,0.0
2020,37694,41,1,1,100,71,2,36,0,999,99,99.0,73,,
2021,1622,42,1,1,100,78,1,36,0,999,99,99.0,73,,
2009,69169,33,1,5,100,20,2,34,0,999,99,,73,0.0,0.0
2012,5178,11,1,4,100,13,2,0,0,999,99,,1,99999999.0,99999999.0
2010,17843,12,1,4,100,7,1,0,0,999,99,,1,99999999.0,99999999.0
2021,42744,12,1,2,200,37,1,10,2100,50,11,2.0,124,,
2021,18608,42,1,1,651,32,2,10,2180,40,11,99.0,111,,
2020,78934,42,1,1,100,34,1,10,6050,40,11,,73,42000.0,0.0
2011,68824,33,1,2,100,36,2,10,4130,997,41,,71,10400.0,0.0
2021,29854,21,1,1,100,67,2,36,0,999,99,99.0,81,,
2021,62495,31,1,2,200,41,2,10,2330,40,11,2.0,123,,
2020,4425,33,1,2,100,41,1,32,0,999,99,99.0,60,,
2021,26923,11,1,4,100,14,1,0,0,999,99,99.0,1,,
2021,14225,31,1,1,100,36,1,10,6200,40,11,2.0,91,,
2020,50323,42,1,3,100,2,1,0,0,999,99,99.0,1,,
2018,73355,41,1,3,100,12,1,0,0,999,99,,1,99999999.0,99999999.0
2012,32647,22,1,3,100,18,1,10,4220,8,41,,60,1550.0,0.0
2020,45995,31,1,1,200,66,1,36,0,999,99,99.0,40,,
2019,663,11,1,1,100,67,1,36,0,999,99,,123,0.0,0.0
2021,74379,41,1,2,100,26,1,10,5510,20,41,,73,0.0,0.0
2010,76201,41,1,5,802,5,1,0,0,999,99,,1,99999999.0,99999999.0
2021,33079,32,1,4,100,20,1,34,0,999,99,99.0,81,,
2021,49794,33,1,2,300,57,2,34,0,999,99,99.0,73,,
2021,7899,42,1,1,100,71,2,36,5250,999,99,99.0,111,,
2021,34234,22,1,3,100,2,2,0,0,999,99,99.0,1,,
2011,1602,11,1,1,100,49,2,10,3320,40,11,,92,52000.0,0.0
2021,9935,41,1,5,100,10,1,0,0,999,99,99.0,1,,
2020,48767,21,1,2,100,80,2,36,0,999,99,99.0,111,,
2020,14250,31,1,1,100,47,2,21,630,999,50,99.0,81,,
2020,28509,22,1,1,100,78,2,36,0,999,99,,73,0.0,0.0
2022,49891,42,1,1,100,71,2,36,0,999,99,99.0,73,,
2019,67960,31,1,4,100,24,2,32,0,999,99,99.0,73,,
2021,60351,41,1,6,100,63,2,10,4030,23,41,99.0,73,,
2010,62913,32,1,2,100,45,2,34,0,999,99,,73,0.0,0.0
2020,10599,11,1,2,100,72,2,36,0,999,99,99.0,73,,
2012,25123,21,1,3,100,18,1,21,9620,999,60,,71,300.0,0.0
2021,3686,33,1,4,200,8,1,0,0,999,99,99.0,1,,
2021,32938,32,1,2,100,60,2,10,4700,40,11,99.0,73,,
2021,59667,33,1,2,100,65,2,36,0,999,99,99.0,111,,
2019,42809,12,1,2,651,63,2,10,3600,997,11,99.0,73,,
2019,22032,21,1,3,100,18,2,10,2720,6,41,,60,0.0,0.0
2021,54942,32,1,6,100,18,1,10,4020,15,41,99.0,60,,
2021,15495,31,1,3,100,0,1,0,0,999,99,99.0,1,,
2010,7179,11,1,2,100,68,2,36,0,999,99,,73,0.0,0.0
2021,4595,33,1,2,100,36,2,10,410,40,11,99.0,60,,
2009,76192,41,1,2,100,49,2,10,4950,997,22,,40,0.0,0.0
2020,13335,31,1,1,100,69,1,10,10,40,11,99.0,124,,
2017,65521,33,1,1,100,18,1,34,0,999,99,,71,0.0,0.0
2014,90954,41,1,2,100,54,2,10,2200,50,11,,125,65000.0,0.0
2020,33067,32,1,1,100,30,2,10,4710,40,11,99.0,111,,
2018,27845,22,1,1,100,23,1,10,520,40,11,,73,27000.0,0.0
2011,4363,11,1,2,100,58,2,21,4230,999,50,,73,0.0,0.0
2021,17509,31,1,2,100,44,1,10,4140,40,11,99.0,73,,
2020,44587,31,1,2,200,19,2,10,4720,40,11,99.0,73,,
2020,44893,12,1,2,100,62,2,34,0,999,99,99.0,73,,
2010,51282,31,1,1,100,30,1,10,2320,45,11,,111,48000.0,0.0
2021,52387,12,1,1,100,50,1,10,7210,40,11,1.0,111,,
2020,4690,33,1,2,200,60,1,32,0,999,99,99.0,50,,
2012,85751,42,1,2,100,55,1,32,0,999,99,,81,0.0,0.0
2020,2027,42,2,4,100,6,2,0,0,999,99,99.0,1,,
2019,70039,41,1,2,100,45,2,10,2540,38,11,2.0,91,,
2022,32473,32,1,2,200,4,2,0,0,999,99,99.0,1,,
2021,17085,31,1,1,100,68,2,36,0,999,99,99.0,111,,
2011,62546,32,1,1,200,62,2,10,5700,40,11,,73,40000.0,0.0
2021,47260,21,1,2,200,64,2,21,5740,999,50,99.0,81,,
2021,4084,11,3,1,100,26,1,10,1530,50,11,,111,64000.0,0.0
2021,5878,42,1,1,651,34,2,10,2145,50,11,99.0,111,,
2020,47592,22,1,1,100,67,1,10,410,45,11,99.0,123,,
2016,41950,31,1,2,100,62,1,10,430,60,11,,123,150000.0,0.0
2021,17412,31,1,1,200,61,2,10,5940,40,11,99.0,111,,
2019,12242,31,1,2,200,80,1,36,0,999,99,99.0,81,,
2021,58154,33,1,2,100,18,2,34,0,999,99,,60,0.0,0.0
2020,64284,42,1,1,100,50,1,21,51,999,50,99.0,111,,
2020,32856,22,1,1,100,54,1,10,4210,50,11,99.0,73,,
2020,58759,33,1,1,100,62,1,10,10,50,11,99.0,123,,
2021,29462,11,1,2,100,53,2,10,2100,40,11,2.0,124,,
2011,25491,21,1,2,100,50,2,10,4200,40,11,,50,15000.0,0.0
2021,37003,22,1,1,100,49,2,10,9620,20,41,99.0,10,,
2021,22171,21,1,1,200,28,2,21,5240,999,50,99.0,81,,
2019,3548,33,1,2,100,26,1,12,6260,40,13,99.0,40,,
2020,69618,41,1,1,100,69,2,36,0,999,99,,123,0.0,0.0
2020,16611,31,1,1,100,73,2,36,0,999,99,99.0,50,,
2021,66265,21,1,2,100,62,1,10,410,40,11,99.0,73,,
2020,24997,32,1,4,100,13,1,0,0,999,99,99.0,1,,
2021,12367,31,1,2,100,34,1,10,705,40,11,99.0,123,,
2013,78455,41,2,1,100,30,1,10,4850,40,11,,111,45000.0,0.0
2022,15217,31,1,1,200,46,1,10,1320,50,11,99.0,111,,
2016,22829,21,1,1,100,55,1,10,300,40,12,,123,175000.0,0.0
2016,66410,33,1,3,100,26,2,34,0,999,99,,81,0.0,0.0
2020,62687,11,1,1,100,60,1,36,0,999,99,99.0,81,,
2014,31223,31,1,1,200,73,1,32,0,999,99,,73,0.0,0.0
2018,1653,11,1,4,100,6,2,0,0,999,99,,1,99999999.0,99999999.0
2020,51807,12,1,2,100,72,2,10,3255,40,11,2.0,123,,
2017,16921,21,1,1,100,46,1,10,4060,997,41,,81,50000.0,0.0
2020,60793,41,1,5,100,14,1,0,0,999,99,99.0,1,,
2020,25909,32,1,1,100,55,2,10,5740,40,11,99.0,92,,
2010,9551,11,1,2,100,43,1,10,2330,35,11,,123,30000.0,0.0
2014,3289,11,1,4,100,2,2,0,0,999,99,,1,99999999.0,99999999.0
2015,35082,22,1,4,100,12,2,0,0,999,99,,1,99999999.0,99999999.0
2014,12852,12,1,3,100,19,1,34,0,999,99,,60,0.0,0.0
2020,38491,41,1,3,651,23,2,10,3603,16,41,99.0,81,,
2020,21413,21,1,1,100,41,2,10,4950,40,11,2.0,81,,
2016,53291,32,1,1,100,39,2,10,5120,40,11,,123,100000.0,0.0
2021,49232,33,1,1,100,63,1,36,0,999,99,99.0,73,,
2017,77896,41,1,4,100,6,2,0,0,999,99,,1,99999999.0,99999999.0
2020,58591,33,1,5,651,14,1,0,0,999,99,99.0,1,,
2016,10505,12,1,1,100,59,1,10,4920,50,11,,123,27000.0,0.0
2021,53345,11,1,1,100,29,1,10,1530,997,11,99.0,111,,
2020,60323,33,1,1,100,32,1,10,6950,48,11,2.0,92,,
2020,41850,41,1,2,100,43,2,10,4230,40,11,99.0,71,,
2021,28676,11,1,1,100,61,1,10,705,45,11,99.0,123,,
2010,74844,41,1,1,100,32,1,21,7300,999,50,,73,26875.0,0.0
2021,1724,42,1,1,100,48,1,1,0,999,99,99.0,73,,
2021,35044,41,1,2,802,55,2,10,4330,997,41,2.0,73,,
2018,73342,41,1,5,100,9,2,0,0,999,99,,1,99999999.0,99999999.0
2021,53932,22,1,4,100,25,2,10,2300,50,11,2.0,111,,
2021,44621,31,1,1,100,43,2,34,0,999,99,99.0,111,,
2021,8074,42,1,4,300,2,1,0,0,999,99,99.0,1,,
2020,46568,22,1,2,100,85,1,36,0,999,99,99.0,40,,
2021,32689,32,1,4,100,19,1,10,4120,40,11,99.0,73,,
2010,35381,22,1,4,804,21,2,34,0,999,99,,81,0.0,0.0
2013,20737,21,1,1,100,40,1,10,5550,40,11,,73,68000.0,0.0
2021,58317,33,1,2,100,58,1,10,7150,40,11,99.0,10,,
2022,3001,41,1,3,100,14,2,0,0,999,99,99.0,1,,
2016,31920,22,1,3,100,15,1,34,0,999,99,,40,1600.0,0.0
2010,60790,32,1,1,200,20,2,34,0,999,99,,50,0.0,0.0
2021,52204,12,1,1,100,56,2,10,4820,50,11,99.0,111,,
2020,9800,42,1,2,100,55,1,10,410,40,11,1.0,92,,
2020,25292,32,1,3,100,30,1,21,1760,999,50,99.0,111,,
2020,21645,21,1,1,100,39,2,32,0,999,99,99.0,2,,
2021,77233,41,1,2,100,16,1,34,0,999,99,,50,0.0,0.0
2018,66720,33,1,2,100,4,2,0,0,999,99,,1,99999999.0,99999999.0
2015,19056,21,1,1,200,59,2,36,0,999,99,,92,0.0,0.0
2021,31537,22,1,1,100,52,2,10,5740,997,12,99.0,92,,
2011,23875,21,1,5,200,42,2,10,5400,997,11,,73,30000.0,0.0
2021,63389,42,1,4,100,7,2,0,0,999,99,99.0,1,,
2020,29315,11,1,1,100,59,2,10,5740,1,41,99.0,111,,
2014,18157,21,1,3,100,3,2,0,0,999,99,,1,99999999.0,99999999.0
2021,44586,31,1,2,100,56,1,10,4210,40,11,99.0,73,,
2021,41999,12,1,5,100,27,1,10,4220,20,22,99.0,81,,
2017,90924,42,2,3,100,51,2,10,4700,40,11,,73,65000.0,0.0
